Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E0,01/01/2025,17:30,Brentford,Arsenal,1,3,A,1,1,D,P Bankes,5,14,2,5,6,8,4,3,1,2,0,0,6.5,4.75,1.44,6.25,4.75,1.49,7,5,1.4,6.98,4.93,1.44,6,4.6,1.44,6.82,4.94,1.48,7.2,5,1.49,6.67,4.8,1.44,7.4,5.1,1.49,1.53,2.5,1.57,2.51,1.57,2.63,1.54,2.46,1.58,2.62,1.25,1.92,2.01,1.93,1.97,1.93,2.01,1.88,1.94,1.96,2.02,5.5,4.33,1.55,5.5,4.5,1.55,5.5,4.33,1.5,6,4.5,1.56,5.5,4.33,1.55,6,4.45,1.57,7.16,4.9,1.57,5.87,4.46,1.54,6.4,4.7,1.57,1.67,2.2,1.68,2.28,1.68,2.47,1.65,2.27,1.73,2.36,1.25,1.68,2.15,1.71,2.26,1.9,2.26,1.73,2.14,1.75,2.3
E0,04/01/2025,12:30,Tottenham,Newcastle,1,2,A,1,2,A,A Madley,13,14,4,4,11,15,9,10,1,4,0,0,2.88,3.8,2.25,2.85,3.9,2.25,2.9,3.9,2.2,2.97,4.06,2.22,2.8,3.9,2.25,3,4.06,2.24,3,4.06,2.31,2.88,3.94,2.24,3.05,4.1,2.3,1.33,3.4,1.35,3.29,1.35,3.47,1.32,3.31,1.37,3.6,0.25,1.9,2,1.94,1.96,1.94,2.03,1.87,1.95,1.96,2.02,3.9,4.5,1.73,3.8,4.4,1.77,3.9,4.6,1.75,3.9,4.69,1.79,3.8,4.4,1.75,3.77,4.62,1.82,3.9,4.69,1.94,3.81,4.5,1.79,4,4.8,1.82,1.25,4,1.35,3.29,1.3,4.14,1.27,3.82,1.3,4.2,0.75,1.95,1.98,1.94,1.98,1.95,2.02,1.88,1.97,1.97,2.02
E0,04/01/2025,15:00,Aston Villa,Leicester,2,1,H,0,0,D,J Gillett,13,4,5,2,10,11,7,2,0,1,0,0,1.33,5.5,8.5,1.33,5.5,9,1.3,5.5,10,1.32,5.64,9.41,1.33,5.5,8.5,1.34,5.86,9.35,1.35,5.86,10.5,1.32,5.51,9.16,1.35,5.9,10.5,1.5,2.63,1.5,2.65,1.53,2.75,1.5,2.58,1.53,2.78,-1.5,1.92,1.98,1.91,2,1.94,1.99,1.9,1.95,1.93,2.04,1.33,5.25,8.5,1.34,5.75,8,1.3,5.5,8.5,1.34,5.69,8.32,1.33,5.5,8.5,1.37,5.41,8.76,1.37,6,9.5,1.33,5.63,8.49,1.37,5.9,9.4,1.4,3,1.43,2.96,1.45,3.14,1.42,2.91,1.46,3.15,-1.5,1.94,1.99,1.95,1.97,1.95,2.01,1.89,1.96,1.97,2.02
E0,04/01/2025,15:00,Bournemouth,Everton,1,0,H,0,0,D,J Brooks,19,9,8,0,15,14,9,3,2,2,0,0,1.73,3.75,4.75,1.77,3.7,4.75,1.73,3.9,5,1.75,3.91,4.82,1.75,3.8,4.6,1.75,3.99,4.89,1.8,3.99,5,1.75,3.82,4.71,1.78,4,5.2,1.91,1.99,1.92,1.97,1.92,2.01,1.86,1.96,1.92,2.06,-0.75,1.99,1.91,1.97,1.93,2,1.93,1.95,1.87,1.99,1.99,1.67,3.8,5,1.7,3.8,5,1.67,3.75,5,1.7,3.97,5.23,1.7,3.75,5,1.72,3.92,5.16,1.72,4,5.25,1.69,3.86,5.1,1.73,4.1,5.4,1.86,2.07,1.85,2.07,1.9,2.09,1.82,2.02,1.9,2.1,-0.75,1.9,2.03,1.91,2.02,1.91,2.04,1.88,1.97,1.94,2.04
E0,04/01/2025,15:00,Crystal Palace,Chelsea,1,1,D,0,1,A,T Robinson,13,15,6,1,9,12,6,6,0,2,0,0,3.8,3.75,1.91,3.7,3.8,1.95,3.75,3.9,1.95,3.69,3.97,1.95,3.5,3.8,1.95,3.69,4.02,1.98,3.8,4.02,1.98,3.65,3.88,1.95,3.9,4,2,1.57,2.38,1.6,2.45,1.62,2.49,1.58,2.39,1.62,2.54,0.5,1.95,1.95,1.94,1.96,1.96,1.96,1.9,1.93,1.98,2,3.6,3.9,1.91,3.5,3.8,2,3.5,3.75,1.91,3.64,3.94,2,3.5,3.8,2,3.89,4,1.91,3.89,4,2.05,3.58,3.84,1.98,3.8,3.95,2.04,1.5,2.63,1.51,2.66,1.58,2.75,1.52,2.57,1.56,2.74,0.5,1.91,2.02,1.93,2.01,1.93,2.04,1.86,1.99,1.94,2.04
E0,04/01/2025,15:00,Man City,West Ham,4,1,H,2,0,H,M Salisbury,10,17,7,4,8,13,7,1,2,1,0,0,1.3,6.25,7.5,1.32,6,8.25,1.3,6,9,1.32,6.41,8.2,1.33,5.8,8,1.34,6.01,8.65,1.34,6.5,9,1.31,6.09,8.3,1.33,6.8,9.4,1.33,3.4,1.35,3.29,1.36,3.45,1.34,3.23,1.39,3.4,-1.5,1.8,2,1.85,2.06,1.86,2.07,1.83,2.02,1.87,2.11,1.22,7,9.5,1.24,7,10.5,1.2,6.5,10,1.26,7.24,10.79,1.25,6.5,10,1.28,7.21,9.27,1.31,7.24,12,1.24,6.97,10.25,1.26,7.6,12,1.29,3.75,1.32,3.48,1.32,3.8,1.3,3.59,1.33,4,-2,2.01,1.92,2.01,1.9,2.14,1.94,2.01,1.86,2.06,1.91
E0,04/01/2025,15:00,Southampton,Brentford,0,5,A,0,1,A,S Attwell,8,20,1,11,10,4,2,2,2,0,0,0,3,3.4,2.4,2.65,3.6,2.5,2.8,3.5,2.5,2.95,3.59,2.41,2.7,3.6,2.45,2.77,3.81,2.49,3,3.81,2.55,2.78,3.54,2.48,2.92,3.65,2.58,1.67,2.2,1.68,2.29,1.7,2.32,1.66,2.24,1.71,2.38,0.25,1.82,2.08,1.83,2.1,1.83,2.2,1.76,2.09,1.8,2.22,3.25,3.6,2.1,3.3,3.6,2.15,3.25,3.5,2.1,3.44,3.65,2.16,3.3,3.5,2.15,3.49,3.71,2.11,3.49,3.71,2.24,3.33,3.58,2.15,3.4,3.75,2.24,1.73,2.1,1.73,2.2,1.75,2.35,1.69,2.19,1.77,2.28,0.25,2.04,1.89,2.05,1.88,2.05,1.9,1.99,1.86,2.05,1.94
E0,04/01/2025,17:30,Brighton,Arsenal,1,1,D,0,1,A,A Taylor,11,9,4,3,17,14,2,5,2,3,0,0,4.33,3.75,1.8,4.4,4,1.75,4.5,3.9,1.75,4.62,3.7,1.82,4.2,3.8,1.8,4.28,4.01,1.84,4.7,4.01,1.84,4.36,3.83,1.8,4.7,4,1.83,1.73,2.1,1.79,2.1,1.8,2.26,1.73,2.12,1.76,2.28,0.75,1.84,2.06,1.84,2.08,1.85,2.08,1.82,2.01,1.91,2.06,5,3.6,1.75,4.75,3.5,1.8,4.5,3.5,1.8,4.93,3.68,1.8,4.5,3.5,1.83,5.45,3.59,1.76,5.45,3.8,1.85,4.74,3.59,1.81,5.1,3.75,1.84,2.05,1.88,2.02,1.88,2.05,2.13,1.97,1.87,2.08,1.91,0.75,1.88,2.05,1.88,2.05,1.92,2.08,1.83,2.02,1.89,2.1
E0,05/01/2025,14:00,Fulham,Ipswich,2,2,D,0,1,A,D Bond,15,7,4,3,10,14,9,2,1,5,0,0,1.55,4.2,5.75,1.55,4.4,5.75,1.57,4.33,5,1.56,4.46,5.71,1.57,4.2,5.5,1.6,4.41,5.75,1.6,4.46,6.25,1.56,4.34,5.68,1.59,4.5,6.2,1.73,2.1,1.72,2.2,1.76,2.22,1.7,2.15,1.76,2.24,-1,1.97,1.93,1.96,1.94,1.97,1.94,1.92,1.91,1.96,1.95,1.53,4.2,6,1.58,4.1,6,1.53,4,5,1.59,4.2,6.15,1.57,4,5.8,1.58,4.31,6.11,1.61,4.31,6.4,1.56,4.16,6.02,1.59,4.4,6.8,1.8,2,1.82,2.08,1.83,2.14,1.8,2.03,1.87,2.14,-1,1.96,1.97,1.96,1.96,1.99,1.99,1.94,1.92,2.01,1.98
E0,05/01/2025,16:30,Liverpool,Man United,2,2,D,0,0,D,M Oliver,19,13,6,4,10,13,6,9,2,4,0,0,1.29,6.25,8,1.29,6,9.5,1.25,6.5,10,1.29,6.14,9.37,1.3,5.8,9.5,1.29,6.26,10.7,1.3,6.5,11,1.29,6.05,9.49,1.31,6.6,11,1.44,2.75,1.43,2.88,1.44,3,1.41,2.86,1.45,3.1,-1.75,2.03,1.78,2.08,1.81,2.08,1.85,2,1.81,2.04,1.93,1.36,5.5,7.5,1.37,5.25,7.75,1.33,5,8,1.36,5.55,8.55,1.36,5,7.5,1.4,5.59,7.19,1.4,5.7,8.6,1.36,5.42,7.9,1.41,5.6,8.8,1.5,2.63,1.53,2.62,1.54,2.8,1.51,2.6,1.58,2.72,-1.5,2.01,1.92,2.02,1.91,2.1,1.93,2,1.86,2.07,1.92
